Designator,Val,Package,MidX,MidY,Rotation,Layer
R69,27K,R_0603,181.610000,-220.345000,-90.000000,top
R70,300K,R_0603,177.800000,-168.910000,90.000000,top
R71,15K,R_0603,179.705000,-229.870000,180.000000,top
R72,4.7K,R_1206,125.550000,-169.545000,0.000000,top
R73,1K,R_1206,173.990000,-163.830000,0.000000,top
R74,27K,R_0603,174.625000,-233.680000,-90.000000,top
R76,300K,R_0603,204.470000,-222.885000,0.000000,top
R77,4.7K,R_1206,167.640000,-220.980000,-90.000000,top
R78,4.7K,R_1206,161.290000,-220.980000,-90.000000,top
R79,4.7K,R_1206,154.940000,-220.980000,-90.000000,top
R81,4.7K,R_1206,148.590000,-220.980000,-90.000000,top
R82,4.7K,R_1206,164.465000,-220.980000,-90.000000,top
R83,4.7K,R_1206,158.115000,-220.980000,-90.000000,top
R84,4.7K,R_1206,151.765000,-220.980000,-90.000000,top
R85,4.7K,R_1206,145.415000,-220.980000,-90.000000,top
R86,4.7K,R_1206,118.110000,-207.010000,180.000000,top
R87,27K,R_0603,180.340000,-233.680000,90.000000,top
R88,47K,R_0603,22.225000,-185.420000,0.000000,top
R89,4.7K,R_0603,127.000000,-165.100000,-90.000000,top
R90,27K,R_0603,182.880000,-236.728000,180.000000,top
RR1,"4,7K",SIP9_Housing_BigPads,111.125000,-236.855000,180.000000,top
RR7,"4,7K",SIP9_Housing_BigPads,156.845000,-227.330000,180.000000,top
RR8,18K,SIP9_Housing_BigPads,153.035000,-210.185000,0.000000,top
SW1,Shutdown,Taster3301,203.200000,-21.590000,0.000000,top
U1,74HCT573,SOIC-20_7.5x12.8mm_Pitch1.27mm,88.900000,-173.990000,-90.00,top
U2,74HCT573,SOIC-20_7.5x12.8mm_Pitch1.27mm,72.390000,-184.150000,0.000000,top
U3,ULN2803A,SOIC-18_7.5x11.6mm_Pitch1.27mm,50.165000,-71.120000,90.000000,top
U4,74HCT573,SOIC-20_7.5x12.8mm_Pitch1.27mm,102.870000,-161.290000,90.000000,top
U5,74HCT273,SOIC-20W_7.5x12.8mm_P1.27mm,76.835000,-86.360000,0.000000,top
U6,74HCT273,SOIC-20W_7.5x12.8mm_P1.27mm,76.835000,-50.800000,0.000000,top
U8,74HCT273,SOIC-20W_7.5x12.8mm_P1.27mm,52.070000,-140.970000,0.000000,top
U11,74HCT273,SOIC-20W_7.5x12.8mm_P1.27mm,52.070000,-158.750000,0.000000,top
U12,74HCT273,SOIC-20W_7.5x12.8mm_P1.27mm,52.070000,-203.200000,0.000000,top
U14,74HC154,SOIC-24_7.5x15.4mm_Pitch1.27mm,38.100000,-92.075000,-90.00,top
U15,74HCT273,SOIC-20W_7.5x12.8mm_P1.27mm,52.070000,-184.150000,0.000000,top
U16,74HCT273,SOIC-20W_7.5x12.8mm_P1.27mm,76.835000,-104.140000,0.000000,top
U17,74HCT273,SOIC-20W_7.5x12.8mm_P1.27mm,76.835000,-121.920000,0.000000,top
U18,74HCT273,SOIC-20W_7.5x12.8mm_P1.27mm,76.835000,-68.580000,0.000000,top
U19,74BCT760,DIP-20__300_ELL,124.460000,-222.250000,0.000000,top
U20,LM358,SO8E,184.150000,-227.330000,180.000000,top
U21,TDA7496,Multiwatt15V,210.820000,-230.505000,-90.000000,top
U23,74HCT273,SOIC-20W_7.5x12.8mm_P1.27mm,52.070000,-219.710000,0.000000,top
sys7_1J2,Logic PWR/GND,Molex9,193.0146mm,-211.455mm,180.000000,top
sys7_2J2,Switch Drivers,Molex9,47.5996mm,-247.015mm,180.000000,top
sys7_2J3,Switch Inputs,Molex9,149.8346mm,-247.015mm,180.000000,top
sys7_2J4,Lamp B+,Molex9,21.59mm,-45.1104mm,-90.000000,top
sys7_2J5,Lamp Strobes,Molex9,45.7454mm,-19.685mm,0.000000,top
sys7_2J6,Lamp GND,Molex9,127.0254mm,-19.685mm,0.000000,top
sys7_2J7,Lamp Rows,Molex9,86.3854mm,-19.685mm,0.000000,top
sys7_2J9,Solenoid Drivers 2,Molex9,212.725mm,-128.8796mm,90.000000,top
sys7_2J10,Solenoid GND,Molex9,167.6654mm,-19.685mm,0.000000,top
sys7_2J11,Solenoid Drivers 1,Molex9,212.725mm,-86.3346mm,90.000000,top
sys11_1J6,Lamp Rows,Molex9,86.3854mm,-29.845mm,0.000000,top
sys11_1J7,Lamp Strobes,Molex9,45.7454mm,-29.845mm,0.000000,top
sys11_1J8,Switch Drivers,Molex9,47.5996mm,-236.855mm,180.000000,top
sys11_1J10,Switch Inputs,Molex9,149.8346mm,-236.855mm,180.000000,top
sys11_1J11,Solenoid Drivers 1,Molex9,201.93mm,-86.3346mm,90.000000,top
sys11_1J12,Solenoid Drivers 2,Molex9,201.93mm,-128.8796mm,90.000000,top
P13,,,144.145mm,-154.305mm,0.000000,top
P1,,,161.925mm,-154.305mm,0.000000,top
P2,,,179.959mm,-154.305mm,0.000000,top
P5,,,154.305mm,-202.565mm,0.000000,top
P6,,,128.905mm,-202.565mm,0.000000,top
P8,,,116.84mm,-144.78mm,0.000000,top
P9,,,174.625mm,-202.565mm,0.000000,top
